SMILES,ATSc5,ATSc3,ALogP,ATSc4,BCUTp-1l,BCUTc-1h,ALogp2,BCUTw-1h,SaasC,MDEC-22,CrippenLogP,BCUTp-1h,hmax,minHBa,maxsOH,XLogP,minsOH,minsCH3,ATSc2,minHBd,Caco-2,CYP3A4,hERG,HOB,MN
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24C(=O)c5ccc(OCCN6CCCCC6)cc5C4=O,0.05132,-1.10226,-0.7214,0.09485,0.20615,-0.21632,-0.25581,-0.59829,-0.13423,1.2429,-0.22537,1.62001,0.5205,-0.13043,0.56884,-0.43775,0.57098,-1.28833,0.06618,0.18186,0,1,0,0,1
Oc1cccc(c1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,0.1497,-0.06857,1.26243,-0.09006,0.63707,-1.11189,0.40853,-0.59848,1.45311,0.82674,-0.05777,1.30651,-0.81939,2.1349,0.54071,0.87473,0.60609,-1.28833,1.24821,0.24438,1,1,0,0,0
CC(C)(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,-0.51611,-1.07423,0.37018,1.02191,0.81857,-0.24103,-0.04639,0.40106,0.55813,0.38985,0.32841,1.03827,-0.23737,-1.2685,0.52465,0.80353,0.59943,1.14258,-0.05646,0.27683,1,1,1,0,0
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCCC3)c4ccc(OCCN5CCCCC5)cc4,-0.5135,-1.07477,-1.17425,1.02002,0.8232,-0.24076,-0.23058,0.40106,0.66102,1.54851,0.67665,1.10202,-0.23737,-1.25471,0.55096,1.40529,0.62652,-1.28833,-0.05599,0.15458,0,1,1,0,0
Oc1ccc2O[C@H]([C@H](Sc2c1)c3cccnc3)c4ccc(OCCN5CCCCC5)cc4,-0.65605,-1.00332,-1.04742,0.93679,0.81468,-0.24057,-0.24427,0.40106,1.01605,1.23084,-0.07544,0.98483,0.1764,-1.31279,0.53821,-0.48109,0.61339,-1.28833,-0.36533,0.33257,0,1,1,0,1
CC(C)C[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,-0.51086,-1.07528,-0.13719,1.01798,0.78411,-0.24105,-0.19124,0.40106,0.59022,0.59388,0.32841,0.56458,-0.23737,-1.24606,0.51953,1.04188,0.59416,-1.28833,-0.05548,0.31888,1,1,1,0,0
Oc1ccc(C[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4)cc1,-0.35161,-1.21056,-0.22183,0.96482,0.08608,-1.04362,-0.20738,0.40106,1.13503,1.48606,0.96068,0.81719,0.03689,-1.30622,0.54659,0.22344,0.53764,-1.28833,-0.17086,0.24759,0,1,1,0,1
CC(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,-0.51363,-1.07472,-0.3154,1.02,0.78411,-0.24117,-0.22254,0.40106,0.57213,0.38985,0.07411,0.56458,-0.23737,-1.24591,0.50895,0.55899,0.58325,1.12072,-0.05598,0.37701,1,1,1,0,0
Oc1cccc(c1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,1.03186,-0.51943,0.25842,-0.89027,0.65472,-0.21832,-0.08538,-0.59836,-0.41418,0.06017,-0.78906,1.54651,0.41671,2.12347,0.5314,-0.76897,0.59651,-1.28833,0.96846,0.3599,0,1,0,1,1
Oc1ccc2O[C@H]([C@H](Sc2c1)c3cccs3)c4ccc(OCCN5CCCCC5)cc4,-0.2996,-1.23187,-0.32551,1.03214,0.8631,-0.24075,-0.22401,0.40112,1.38466,0.97426,0.04112,1.65057,-0.02596,-1.26413,0.53661,0.24325,0.61174,-1.28833,-0.07214,0.30119,0,1,1,0,0
Oc1ccc2O[C@H]([C@@H](CC3CCCC3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,-0.51086,-1.07528,-0.79523,1.01798,0.79869,-0.24077,-0.25618,0.40106,0.65062,1.51329,0.67665,0.76498,-0.23737,-1.24826,0.54457,1.53592,0.61994,-1.28833,-0.05548,0.19064,0,1,1,0,0
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4,-0.09766,-0.77251,-0.21814,0.69581,0.23801,-0.13177,-0.20672,0.40106,0.49919,1.18753,0.41634,1.11955,-0.53,-1.37908,0.54675,-0.15173,0.55018,-1.28833,0.04094,0.2617,0,1,0,0,1
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(COCCN5CCCCC5)cc4,-0.54175,-1.02006,-0.08211,1.10086,0.22591,-1.16311,-0.17951,0.40106,1.21501,1.48583,0.69158,1.07825,0.14464,-1.3293,0.54476,-0.35789,0.56354,-1.28833,-0.42555,0.27217,0,1,1,0,1
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)C5=CCNCC5,0.01172,-0.58886,0.66916,0.19015,0.22802,-1.16393,0.07761,0.40106,1.2931,0.65236,0.38584,1.10727,0.11657,-1.32312,0.5364,-0.30465,0.55494,-1.28833,0.42411,-0.95281,0,1,1,0,0
CN1CCN(CC1)c2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,-0.17873,-1.18059,0.52504,0.92055,0.22756,-1.16418,0.01426,0.40106,1.29252,0.65236,0.09758,1.10092,0.12377,-1.32441,0.54093,-0.40928,0.5596,0.99301,-0.0666,0.28928,0,1,1,0,1
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2CCCN4CCCCC4,-0.31698,-0.55616,-1.09818,0.13334,0.20652,-1.35134,-0.23941,0.40106,0.27599,0.76421,0.41224,0.81168,-0.49849,-1.27856,0.51647,-0.03101,0.53441,-1.28833,0.39049,0.35434,0,1,1,0,1
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(CCCN5CCCCC5)cc4,0.07056,-0.54961,-0.14814,0.11121,0.22664,-1.16425,-0.19346,0.40106,1.38306,1.67842,1.18409,1.08832,0.06954,-1.32142,0.54544,0.47108,0.56425,-1.28833,0.33583,0.24846,0,1,1,0,1
CN1CCCN(CC1)c2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,-0.12468,-0.88029,0.32424,0.62784,0.22787,-1.16411,-0.0629,0.40106,1.29942,0.92487,0.35188,1.10519,0.12377,-1.32653,0.54582,-0.18764,0.56464,1.014,-0.03256,0.26079,0,1,1,0,1
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)C5CCNCC5,0.02312,-0.5547,-0.31387,0.08528,0.22772,-1.16378,-0.22231,0.40106,1.39074,0.65236,0.56381,1.10302,0.06954,-1.31971,0.53769,-0.20064,0.55627,-1.28833,0.4835,-1.23109,0,0,1,0,0
CCN1CCN(CC1)c2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,-0.1272,-1.26677,0.69962,0.9233,0.22763,-1.16399,0.09186,0.40106,1.29995,0.88429,0.35188,1.10185,0.12377,-1.32577,0.54479,-0.1474,0.56358,1.047,-0.02504,0.2671,0,1,1,0,1
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)N5CCNCC5,-0.01569,-1.29445,0.15139,0.74607,0.22743,-1.16441,-0.11897,0.40106,1.28245,0.65236,-0.1255,1.09907,0.12377,-1.32283,0.53656,-0.55724,0.5551,-1.28833,0.1437,-1.03073,0,1,1,0,1
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(CN5CCCCC5)cc4,0.021,-0.45035,0.00916,0.16731,0.227,-1.16452,-0.15793,0.40106,1.35934,1.19483,0.68076,1.09314,0.08528,-1.32059,0.54045,-0.24026,0.55911,-1.28833,0.27205,0.28118,0,1,1,0,1
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)N5CCCNCC5,-0.00464,-0.96564,-0.04941,0.48872,0.22774,-1.16434,-0.17208,0.40106,1.28935,0.92487,0.1288,1.10334,0.12377,-1.32495,0.54145,-0.3356,0.56014,-1.28833,0.16741,-1.23109,0,1,1,0,1
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,0.06036,-0.04971,-0.46761,-0.04269,0.44874,-1.41453,-0.2412,-0.59848,-0.16601,-0.44221,-0.57133,-0.41571,-1.14871,2.05812,0.63866,0.31383,0.54168,1.14292,1.18705,-1.14106,1,1,1,0,0
CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1[C@H](O)c2cc(O)ccc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@H]13,-0.24088,0.26243,-2.97184,0.12764,0.27188,-0.04007,0.51803,0.40106,-0.48465,-1.59622,1.70652,1.43304,-0.51408,-1.24213,0.95271,2.42432,0.67584,0.74198,0.00079,-2.59829,0,1,0,0,1
CC\C(=C(/c1ccccc1)\c2ccc(\C=C\C(=O)O)cc2)\c3ccccc3,0.00808,0.30458,1.96788,-0.09765,-1.50286,0.90328,0.94888,-0.59848,0.36512,1.68133,0.68897,0.70774,-0.36677,1.79555,0.25469,2.56547,0.32139,0.99445,0.73231,1.69922,0,0,1,1,0
C[C@]12CC[C@H]3[C@@H]([C@H](Sc4ccc(Br)cc4)C(O)c5cc(O)ccc35)[C@@H]1CC[C@@H]2O,-0.22348,-0.37487,0.31385,0.26896,0.75687,-1.11587,-0.06654,3.33826,0.89083,-0.30369,0.15631,1.71084,-0.33901,-1.30978,0.92947,0.12067,0.65179,1.12727,0.92209,-2.3094,0,1,1,0,0
C[C@]12CC[C@H]3[C@@H]([C@@H](Cc4cc(O)ccc34)Sc5ccc(\C=C\C(=O)O)cc5)[C@@H]1CC[C@@H]2O,0.13686,0.00486,0.34599,-0.01333,-1.49735,0.90354,-0.05517,0.40106,0.89843,0.43471,0.43858,1.54602,-0.45183,-1.27915,0.75246,0.26801,0.33522,1.15384,0.37984,-1.70035,0,1,1,0,0
CN(C)C(=O)\C=C\c1ccc(S[C@@H]2Cc3cc(O)ccc3[C@H]4CC[C@]5(C)[C@@H](O)CC[C@H]5[C@H]24)cc1,0.14048,0.80095,0.21324,-0.3051,0.14838,0.23342,-0.10001,0.40106,1.0178,0.43471,0.44093,1.52396,-1.03002,-1.27244,0.76445,0.22592,0.67124,0.5615,0.10537,-1.76468,0,1,1,0,0
CCCCN(C)C(=O)CCCCCCCCCCS[C@H]1[C@@H]2[C@H](CC[C@]3(C)[C@@H](O)CC[C@@H]23)c4ccc(O)cc4C1=O,-0.29117,0.16066,-2.87409,0.12824,0.27186,-0.0434,0.45069,0.40106,-0.64926,-1.59622,1.85313,1.34022,-1.05936,-1.27202,0.76264,2.43422,0.66549,0.73699,-0.02801,-1.81214,0,1,0,0,1
C[C@]12CC[C@H]3[C@@H]([C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,0.04093,-2.55985,-1.35713,1.22536,-2.90321,3.1064,-0.20175,0.40106,-0.24745,1.9664,3.05875,0.53328,2.69875,2.19828,0.75283,4.00858,0.65927,1.13102,-0.05478,-1.79392,0,1,1,0,0
CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1Cc2cc(O)ccc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@H]13,0.10415,0.54864,-2.57226,-0.22391,0.27183,-0.04024,0.26208,0.40106,-0.08796,-1.59622,2.26076,1.28139,-1.18608,-1.14725,0.76729,3.02794,0.67417,0.75582,0.19816,-1.8699,0,1,1,0,0
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCC5)cc4,-0.14665,-0.86966,0.45469,0.88117,0.29475,-1.25243,-0.01424,0.40114,1.87884,0.99153,0.33773,2.04417,-0.65144,-1.27597,0.55802,-0.24769,0.56847,-1.28833,0.20848,0.10829,0,1,1,0,1
Oc1ccc2O[C@H]([C@H](Sc2c1)c3cccc(O)c3)c4ccc(OCCN5CCCC5)cc4,-0.59885,-1.20087,-0.06454,1.17305,0.77922,-1.04085,-0.17556,0.40106,0.98915,0.97174,0.56876,1.09141,0.20677,-1.34012,0.56227,-0.22231,0.61403,-1.28833,-0.19002,0.16515,0,1,1,0,1
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)cc4,-0.14749,-0.88221,0.25389,0.89075,0.29478,-1.25213,-0.08688,0.40114,1.88235,1.2514,0.59204,2.04524,-0.65144,-1.27728,0.56142,-0.02606,0.57197,-1.28833,0.20536,0.0885,0,1,1,0,1
Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)cc4,-0.34853,-0.85889,0.25389,0.94494,0.91832,-1.25131,-0.08688,0.40114,1.82662,1.23084,0.59204,2.05638,-0.64743,-1.2879,0.58031,-0.02606,0.63749,-1.28833,0.20352,-0.00727,0,1,1,0,1
Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)c(Br)c4,-0.47934,-1.14107,0.56952,1.24564,0.93965,-1.23648,0.03311,3.33825,2.64652,0.85857,1.0891,2.34944,-0.65466,-1.28767,0.59339,0.44012,0.64861,-1.28833,0.17656,-0.07436,0,1,1,0,1
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)c(Br)c4,-0.27869,-1.16439,0.56952,1.19142,0.30545,-1.23707,0.03311,3.33825,2.7053,0.87623,1.0891,2.33836,-0.65867,-1.27705,0.57221,0.44012,0.58309,-1.28833,0.17839,0.03306,0,1,1,0,1
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCC5)c(Br)c4,-0.27784,-1.15184,0.77032,1.18184,0.30541,-1.23755,0.12606,3.33825,2.70083,0.62802,0.8348,2.3373,-0.65867,-1.27574,0.56881,0.21849,0.57959,-1.28833,0.18152,0.05285,0,1,1,0,1
Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,-0.59969,-1.21341,-0.26534,1.18262,0.7793,-1.04053,-0.21477,0.40106,0.9927,1.23084,0.82307,1.09195,0.20677,-1.34142,0.56608,-0.00067,0.61753,-1.28833,-0.19315,0.14296,0,1,1,0,1
CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCNCC4,2.05656,5.01217,-0.64191,-3.00883,-0.04369,0.05665,-0.25346,0.58859,1.25911,0.7663,0.18818,-1.56444,-0.6045,-0.57332,0.42023,-0.85688,0.49188,0.86704,-2.16177,-0.95627,0,1,0,1,1
CN(CCCc1ccc(F)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCNCC4,2.08092,4.937,-0.96187,-3.01136,-1.36426,0.05656,-0.2506,-0.41063,0.26945,0.7663,-0.6572,-1.56597,-0.57412,-0.23413,0.41616,-1.14228,0.48769,0.79723,-2.24838,-0.91808,0,1,0,1,1
CN(C[C@@H]1C[C@@H]1c2ccccc2)c3nc(NCCc4ccc(O)cc4)nc(n3)N5CCNCC5,2.02371,5.07292,-0.93552,-3.01425,-0.04352,0.0566,-0.25207,-0.59855,0.62091,0.66703,-0.12636,-1.4973,-0.60401,-0.19538,0.42244,-0.62782,0.49415,0.89477,-2.10012,-0.96962,0,1,1,0,1
CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCN(Cc5csc(C)n5)CC4,1.78057,4.63136,-0.23724,-2.32006,-0.04337,0.05821,-0.21007,0.58859,2.51533,1.17947,0.85951,-1.42387,-0.56696,-1.11626,0.44303,-0.42104,0.51536,0.88483,-2.65464,-0.76606,0,1,1,0,1
CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCN(CCO)CC4,1.89531,4.36296,-0.64435,-2.20383,-1.12813,0.05724,-0.25356,0.58859,1.19074,1.22386,-0.00433,-1.47014,-0.57738,-0.57691,0.42888,-1.14785,0.43575,0.85396,-2.56628,-0.69664,0,1,1,0,1
Oc1ccc(CCNc2nc(SCCCc3ccc(Cl)cc3)nc(n2)N4CCNCC4)cc1,1.15243,4.16294,0.05504,-2.2565,-0.04148,0.03962,-0.14607,0.58855,1.58291,0.7663,0.61575,-0.60338,-0.67479,-1.24092,0.41674,-0.66558,0.48828,-1.28833,-1.67976,-0.98162,0,1,0,0,1
COc1cccc2OC(c3ccccc3)c4c(Br)c(NS(=O)(=O)C)ccc4c12,0.58184,0.28807,0.23666,-0.41258,0.78506,0.73947,-0.09251,3.33825,1.77628,-0.34701,0.21271,1.01696,1.36013,-0.00218,-1.89854,-0.11211,-1.8963,0.099,-0.25212,-0.61241,1,1,1,0,1
Oc1ccc(cc1)C(=C(CC(F)(F)F)c2ccccc2)c3ccc(O)cc3,0.02236,0.15495,1.96433,-0.06988,-1.74208,2.187,0.94575,-0.41051,-0.91952,0.81327,0.5616,0.61011,2.06839,2.02244,0.43952,1.50806,0.51175,-1.28833,0.14615,0.78068,0,0,0,0,1
Oc1ccc(cc1)C(=Cc2ccccc2)c3ccc(O)cc3,0.00853,0.01746,1.15687,-0.09132,0.15708,-1.04233,0.34139,-0.59848,0.00382,0.91195,-0.05901,-0.08375,-0.87549,1.99969,0.42099,0.74967,0.49266,-1.28833,1.24568,0.86385,0,0,0,0,0
CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,-0.51125,-0.32031,1.76875,0.83432,1.33284,-1.51737,0.78019,-0.59855,0.48791,1.56677,0.87946,0.67189,-0.63384,-0.21031,-1.89854,2.09063,-1.8963,0.86747,0.49535,-2.7892,1,1,1,1,0
CCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,-0.01248,0.0138,1.23447,-0.09663,0.20942,-1.54147,0.3904,-0.59848,0.07998,0.81327,0.4496,0.63582,-0.9847,2.03768,0.45193,1.27961,0.52453,0.95897,1.24372,0.68451,0,0,0,0,1
CCCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,-0.0125,0.01398,0.69816,-0.09666,0.22234,-1.54635,0.09117,-0.59848,0.11589,1.4639,0.9582,0.81345,-1.05585,2.06297,0.47254,1.98414,0.54575,1.01751,1.24366,0.5674,0,0,1,0,0
CC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,-0.0119,0.01456,1.46811,-0.09635,0.1922,-1.52165,0.54959,-0.59848,0.04261,0.4707,0.19529,0.39898,-0.9365,2.02051,0.43794,0.99235,0.51012,0.90196,1.24206,0.76366,0,0,0,0,1
CCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,-0.0125,0.01398,0.89896,-0.09667,0.21804,-1.5464,0.1924,-0.59848,0.10169,1.14544,0.7039,0.75424,-1.02374,2.05155,0.46323,1.63188,0.53616,0.99337,1.24366,0.62039,0,0,0,0,0
CC\C(=C(/c1ccccc1)\c2ccc(O)cc2)\c3ccccc3,-0.00206,0.10707,1.62708,-0.08945,0.20955,-1.55863,0.66791,-0.59855,0.11726,1.15817,0.64151,0.61366,-0.9847,2.03668,0.45112,1.9829,0.52369,1.00532,1.36955,0.68451,1,0,0,0,1
CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2,-0.02289,-0.00757,0.60634,-0.11612,0.13903,-1.54341,0.04918,-0.59848,-0.34893,-0.25595,0.03349,-0.33124,-0.87253,1.97809,0.40339,0.6729,0.47454,0.95388,1.24373,0.86871,1,0,0,0,1
CCc1c(oc(c2ccc(O)cc2)c1c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,-0.43991,-0.66551,-0.14967,0.9115,0.09597,-1.24908,-0.19377,-0.59836,1.96798,1.77695,1.7631,0.10177,-0.53702,-0.10377,0.50187,0.67104,0.56372,0.93793,-0.04438,0.51796,0,1,1,0,0
Cc1c(c2ccc(O)cc2)n(Cc3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc15,-0.54932,-0.54982,0.01892,0.79817,0.15317,-1.4368,-0.15546,-0.59842,1.02837,1.58471,0.97498,-0.04683,-0.21744,-0.16303,0.56635,0.40298,0.56274,0.89713,0.03437,0.17247,0,1,1,0,1
Cc1c(c2ccc(O)cc2)n(Cc3ccc(OCCN4CCCCCC4)cc3)c5ccc(O)cc15,-0.54936,-0.5542,-0.18188,0.80145,0.15319,-1.43605,-0.20005,-0.59842,1.0318,1.87901,1.22928,-0.04656,-0.21744,-0.16214,0.56975,0.62461,0.56588,0.89918,0.03398,0.15268,0,1,1,0,1
Cc1c(c2ccc(O)cc2)n(CCCCCCN3CCCC3)c4ccc(O)cc14,-0.15079,0.09762,-1.01472,-0.13037,0.143,-1.45482,-0.24697,-0.59848,0.21198,1.31778,0.8942,-0.18662,-0.93217,-0.13138,0.5423,0.63514,0.54176,0.93748,0.61626,0.21906,0,1,1,0,1
Cc1cc(O)c2C(=O)c3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)cc3C(=O)c2c1,-0.93554,-2.25784,-2.05485,-0.34082,-0.71433,-0.06931,0.00671,-0.59798,-2.2739,-1.38781,-3.78612,-0.73103,1.53933,0.73676,0.61453,-2.32413,0.45285,0.43464,-0.57232,-0.19188,0,1,0,0,1
Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O,1.96565,0.13363,-1.044,-2.12531,0.07094,-0.06337,-0.24457,-0.5983,-1.55315,-0.95543,-1.40165,-1.29174,-0.14445,0.73992,0.49577,-1.18995,0.43404,-1.28833,0.71173,0.73873,1,0,0,0,1
Oc1ccc(cc1)C2=COc3cc(O)ccc3C2=O,1.14808,-0.06274,-0.6514,-1.05006,0.06771,-0.09342,-0.25384,-0.59836,-0.92237,-0.75151,-1.20974,-1.33605,-0.2258,0.7637,0.3881,-1.13981,0.43301,-1.28833,0.68621,1.17822,1,0,0,1,1
Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1,-1.18319,0.52235,-0.59701,-0.89035,0.57853,-0.07431,-0.25123,-0.5983,-2.01237,-1.42667,-2.13885,-1.26452,-0.37993,1.99211,0.52121,-1.5156,0.4863,0.48233,0.79397,0.46894,1,0,0,1,1
Oc1ccc2C(=O)c3cc(O)ccc3C(=O)c2c1,-1.53133,0.20393,-0.51564,0.22673,0.45322,-0.11883,-0.24555,-0.59836,-1.31194,-1.11039,-1.9652,-1.43701,-0.57169,1.96913,0.39609,-1.70813,0.46702,-1.28833,0.74208,1.0524,1,0,0,1,1
Cc1ccc(cc1)S(=O)(=O)N2CCc3cc(O)ccc3C2c4ccc(OCCN5CCCC5)cc4,-0.35421,0.54287,0.0786,0.53728,0.57725,0.44663,-0.13972,0.40106,0.79815,1.61782,-0.30567,1.42869,2.78538,-0.3278,0.5548,-0.8674,0.63048,0.76644,-0.62812,0.13728,0,1,1,0,1
Oc1ccc(cc1)C2CN(Cc3cc(O)ccc23)C(=O)c4ccccc4,-0.17918,0.75383,0.38036,-0.14687,0.13272,0.32681,-0.04264,-0.59842,0.25496,0.60106,-0.88547,-0.20293,-0.22959,-0.30307,0.51986,-1.06118,0.51669,-1.28833,0.22006,0.36799,0,1,1,0,1
Oc1ccc2C(N(CCc2c1)c3ccccc3)c4cccs4,-0.04656,-0.0973,0.75575,0.32525,0.55373,-1.05071,0.11888,0.40113,1.11687,0.50658,-0.12922,0.93926,-0.35471,-1.14612,0.49752,-0.28979,0.57149,-1.28833,0.96358,0.42566,1,1,0,0,1
